Date,Price,Open,High,Low,LQ45_Vol,Change %
30/09/2020,737.15,745.92,747.94,731.51,1.47B,-0.70%
29/09/2020,742.38,756.1,759.28,739.37,1.44B,-1.02%
28/09/2020,750,765.1,769.9,750,1.45B,-1.36%
25/09/2020,760.32,745.61,761.24,740.56,1.60B,2.75%
24/09/2020,740,743.44,750.45,735.88,1.45B,-1.88%
23/09/2020,754.18,759.6,765.73,745.09,1.50B,-0.29%
22/09/2020,756.38,754.27,765.32,751.51,1.44B,-1.51%
21/09/2020,767.97,780.17,781.99,765.25,1.59B,-1.58%
18/09/2020,780.32,775.76,781.87,770.84,2.82B,0.62%
17/09/2020,775.54,781.37,788.31,770.66,1.33B,-0.75%
16/09/2020,781.37,792.74,794.23,780.27,1.25B,-1.19%
15/09/2020,790.75,807.21,809.77,788.09,1.75B,-1.79%
14/09/2020,805.12,789.41,805.12,789.31,2.22B,3.44%
11/09/2020,778.32,730.92,780.53,727.91,3.45B,2.94%
10/09/2020,756.11,785.64,785.69,756.11,2.77B,-6.00%
09/09/2020,804.35,818.47,818.47,802.59,1.95B,-2.63%
08/09/2020,826.07,824.78,828.68,824.78,1.27B,0.25%
07/09/2020,823.99,824.78,826.92,816.16,1.30B,-0.20%
04/09/2020,825.62,834.74,834.72,815.26,1.56B,-1.09%
03/09/2020,834.74,843.17,846.82,827.95,1.77B,-1.00%
02/09/2020,843.17,841.25,847.71,837.93,1.71B,0.23%
01/09/2020,841.25,824.19,841.25,820.19,1.84B,2.07%
31/08/2020,824.19,847.75,852.52,822.53,3.07B,-2.78%
28/08/2020,847.75,852.66,854.73,843.26,1.93B,-0.58%
27/08/2020,852.66,849.52,854.79,843.86,1.83B,0.37%
26/08/2020,849.52,850.99,853.41,845.8,1.79B,-0.17%
25/08/2020,850.99,836.14,851.84,836.38,2.17B,1.78%
24/08/2020,836.14,834.84,839.33,830.33,1.96B,0.16%
19/08/2020,834.84,839.02,846.89,834.14,2.45B,-0.50%
18/08/2020,839.02,827.22,843.73,826.55,3.40B,1.43%
14/08/2020,827.22,825.8,828.92,821.58,2.02B,0.17%
13/08/2020,825.8,825.22,835.01,821.16,2.40B,0.07%
12/08/2020,825.22,812.3,826.78,809.66,3.60B,1.59%
11/08/2020,812.3,806.9,816.43,806.95,2.59B,0.67%
