Date,Price,Open,High,Low
17/01/2005,224.17,224.25,225.87,223.76
14/01/2005,223.34,222.91,224.81,222.61
13/01/2005,223.08,220.57,223.56,220.57
12/01/2005,220.16,220.11,221.42,219.33
11/01/2005,220.92,222.02,222.02,219.78
10/01/2005,222.84,225.72,225.72,221.39
07/01/2005,227.3,226.9,228.16,225.98
06/01/2005,225.47,221.5,225.79,221.5
05/01/2005,221.52,221.82,223.77,221.33
04/01/2005,222.5,219.01,222.83,219.01
03/01/2005,218.57,217.19,218.57,216.8
30/12/2004,217.1,218.19,218.81,216.24
29/12/2004,218.52,218.94,219.1,216.68
28/12/2004,218.24,217.29,218.47,215.97
27/12/2004,216.91,214.42,216.97,214.4
23/12/2004,214.82,215.09,215.38,213.86
22/12/2004,215.04,214.54,215.16,214.05
21/12/2004,213.26,212.33,213.26,211.28
20/12/2004,212.71,213.55,213.55,211.23
17/12/2004,213.62,211,213.62,211
16/12/2004,210,206.01,210,206.01
15/12/2004,205.36,200.42,205.36,200.38
14/12/2004,200.62,204.46,204.78,198.09
13/12/2004,204.44,206.29,206.92,203.12
10/12/2004,206.48,207.52,207.52,204.04
09/12/2004,211.25,213.71,213.71,209.33
08/12/2004,214.88,215.49,217.39,213.54
07/12/2004,215.65,215.01,216.04,212.76
06/12/2004,214.75,214.28,214.93,213.02
03/12/2004,214.27,218.78,219.06,213.23
02/12/2004,217.88,218.16,219.49,216.35
01/12/2004,215.26,213.77,215.26,212.88
30/11/2004,214,210.04,214,210.04
29/11/2004,210.1,210.32,210.32,208.99
26/11/2004,210.02,208.54,210.02,208.23
25/11/2004,208.66,209.57,209.57,206.91
24/11/2004,210.56,209.64,212.08,208.18
23/11/2004,209.2,205.75,209.35,205.75
22/11/2004,205.73,205.06,205.83,204.74
12/11/2004,204.26,203.23,205.29,202.94
11/11/2004,202.31,200.86,202.52,200.66
10/11/2004,200.8,197.51,201.36,197.51
09/11/2004,197.35,194.87,197.35,194.72
08/11/2004,194.47,193.37,194.47,192.21
05/11/2004,195.04,194.49,195.04,192.87
04/11/2004,192.64,194.43,194.77,191.48
03/11/2004,193.84,192.58,194.29,191.32
02/11/2004,191.99,187.7,193.33,187.7
01/11/2004,187.71,187.11,187.86,186.48
29/10/2004,187.09,186.55,187.21,186.06
28/10/2004,187.44,185.67,187.44,184.18
27/10/2004,183.93,182.99,184.56,182.82
26/10/2004,182.51,183.44,183.83,181.48
25/10/2004,183.75,183.65,184.54,182.47
22/10/2004,184.83,181.14,184.83,180.54
21/10/2004,180.89,182.92,182.96,178.66
20/10/2004,182.8,185.56,185.56,181.25
19/10/2004,185.94,185.91,186.27,184.68
18/10/2004,185.27,185.21,185.48,184.17
15/10/2004,185.47,184.78,185.47,184.01
14/10/2004,185.72,186.23,186.85,184.88
13/10/2004,187.27,184.53,187.27,183.76
12/10/2004,184.6,186.84,187.35,183.73
11/10/2004,186.87,185.51,187.7,185.51
08/10/2004,185.17,184.09,185.17,182.95
07/10/2004,184.51,185.43,185.43,182.87
06/10/2004,186.14,186.86,186.88,184.26
05/10/2004,187.61,186.31,187.61,185.18
04/10/2004,186.36,183.46,186.36,183.46
01/10/2004,181.52,177.47,181.52,177.47
30/09/2004,177.28,176.66,178.01,176.41
29/09/2004,176.12,176.28,176.46,174.52
28/09/2004,176.13,176.41,176.84,175.24
27/09/2004,177.12,177.94,178.62,176.19
24/09/2004,178.02,177.05,178.02,176.25
23/09/2004,177.15,176.7,178.24,176.2
22/09/2004,178.59,179.79,179.91,177.57
21/09/2004,179.81,181.3,181.76,177.95
17/09/2004,177.7,177.55,177.82,174.96
16/09/2004,177.59,176.72,177.59,176.09
15/09/2004,177.94,175.47,179.58,175.47
14/09/2004,176.48,174.52,177.34,174.52
10/09/2004,172.68,169.03,172.68,168.46
09/09/2004,169,171.52,171.8,163.7
08/09/2004,171.51,170.34,171.51,169.72
07/09/2004,170.51,170.56,170.77,169.29
06/09/2004,170.78,170.79,170.79,169.42
03/09/2004,171.34,169.7,171.34,168.69
02/09/2004,170.07,169.3,170.07,167.32
01/09/2004,169.09,164.17,169.09,164.17
31/08/2004,163.7,163.3,163.77,162.42
30/08/2004,162.89,160.94,162.89,160.64
27/08/2004,161.46,158.6,161.46,158.6
26/08/2004,158.81,158.43,158.85,157.39
25/08/2004,158.36,159.84,159.84,157.62
24/08/2004,160.27,160.87,160.87,158.57
23/08/2004,162.76,163.31,163.33,161.66
20/08/2004,163.05,164,164,162.44
19/08/2004,164.08,164.31,164.4,163.59
18/08/2004,164.07,163.81,164.53,163.16
16/08/2004,163.49,164,164.14,162.53
13/08/2004,164.53,163.78,164.89,163.78
12/08/2004,164.83,165.39,165.39,164.1
11/08/2004,165.75,163.76,165.75,163.76
10/08/2004,163.18,163.26,163.44,162.63
09/08/2004,163.21,162.75,163.21,161.94
06/08/2004,163.9,165.04,165.04,163.03
05/08/2004,165.88,165.06,165.88,164.54
04/08/2004,165.18,164.17,165.18,163.9
03/08/2004,164.98,163.59,164.98,163.55
02/08/2004,163.16,164.56,164.72,162.7
30/07/2004,165.11,166.58,167.11,164.84
29/07/2004,166.36,166.37,166.56,164.87
28/07/2004,166.3,166.72,166.91,165.45
27/07/2004,166.49,166.52,167.26,165.34
26/07/2004,167.27,167.36,167.36,164.31
