Date,Price,Open,High,Low,Volume
16/05/2016,809.12,813.02,813.75,807.03,1160000000
13/05/2016,817.02,825.09,825.64,812.90,1070000000
12/05/2016,825.61,825.67,831.20,824.58,982560000
11/05/2016,826.72,823.89,830.16,820.18,1150000000
10/05/2016,819.45,815.26,819.56,811.58,1380000000
09/05/2016,815.20,827.51,828.85,815.20,1470000000
04/05/2016,830.98,826.30,830.98,818.08,1260000000
03/05/2016,827.19,829.25,831.90,825.83,1050000000
02/05/2016,826.62,830.14,831.59,818.88,953630000
29/04/2016,832.51,832.18,832.85,827.74,1310000000
28/04/2016,834.41,839.31,842.20,830.91,1310000000
27/04/2016,835.29,829.25,835.29,827.32,1020000000
26/04/2016,830.83,842.52,842.58,826.70,1440000000
25/04/2016,845.65,854.26,854.26,842.08,1210000000
22/04/2016,852.87,849.51,853.72,845.39,1060000000
21/04/2016,850.58,847.75,852.06,847.46,1360000000
20/04/2016,845.70,846.24,847.87,841.18,1550000000
19/04/2016,847.64,847.36,849.41,844.41,1780000000
18/04/2016,844.91,831.90,844.91,829.52,1370000000
15/04/2016,834.61,836.50,836.89,827.10,1180000000
14/04/2016,831.56,844.20,844.40,831.56,1280000000
13/04/2016,839.46,840.28,842.35,834.36,1490000000
12/04/2016,835.99,826.67,835.99,823.80,1140000000
11/04/2016,826.32,836.42,838.86,822.08,1200000000
08/04/2016,839.71,838.73,843.74,836.16,1840000000
07/04/2016,845.53,850.06,852.06,843.54,1740000000
06/04/2016,845.97,846.71,849.41,845.97,959870000
05/04/2016,845.48,842.63,851.35,841.42,1210000000
04/04/2016,842.96,839.55,845.63,839.45,1400000000
01/04/2016,840.30,839.86,840.30,834.77,1060000000
31/03/2016,840.35,838.07,841.23,833.87,1520000000
30/03/2016,835.49,833.22,839.72,830.75,1790000000
29/03/2016,829.32,826.04,829.95,824.41,1140000000
28/03/2016,827.54,834.15,835.57,824.89,1120000000
24/03/2016,838.56,839.46,843.14,836.42,1250000000
23/03/2016,843.79,844.16,844.21,838.16,1230000000
22/03/2016,845.63,849.07,851.59,841.11,1130000000
21/03/2016,852.59,848.54,856.87,848.50,1240000000
